#####################################################################
# Alchemist log file - simulation started at: 2020-02-02T16:40+0000 #
#####################################################################
# seed = 6.0, meanTaskSize = 1000, smoothing = 0.03, grain = 1700.0, peakFrequency = 0.03
#
# The columns have the following meaning: 
# time done[Sum] drop[Sum] waiting[Sum] isLeader[Sum] capacity[Mean] freeCapacity[Mean] maxCapacity[Mean] 
0.0 NaN 0.0 NaN NaN NaN NaN NaN 
1.0115592716150654 0.0 0.0 0.0 135.0 14232.777777777797 14232.777777777797 14232.777777777797 
2.0115592716150656 0.0 0.0 0.0 35.0 14232.777777777797 14232.777777777797 14232.777777777797 
3.0115592716150656 0.0 0.0 0.0 35.0 14232.777777777797 14232.777777777797 14232.777777777797 
4.011559271615066 0.0 0.0 0.0 35.0 14232.777777777797 14232.777777777797 14232.777777777797 
5.011559271615066 0.0 0.0 0.0 35.0 14232.777777777797 14232.777777777797 14232.777777777797 
6.011559271615066 0.0 0.0 0.0 35.0 14232.777777777797 14232.777777777797 14232.777777777797 
7.011559271615066 0.0 0.0 0.0 35.0 14232.777777777797 14232.777777777797 14232.777777777797 
8.011559271615067 0.0 0.0 0.0 35.0 14232.777777777797 14232.777777777797 14232.777777777797 
9.011559271615067 0.0 0.0 0.0 35.0 14232.777777777797 14232.777777777797 14232.777777777797 
10.011559271615067 0.0 0.0 0.0 35.0 14232.777777777797 14232.777777777797 14232.777777777797 
11.011559271615067 0.0 0.0 0.0 35.0 14232.777777777797 14232.777777777797 14232.777777777797 
12.011559271615067 0.0 0.0 0.0 35.0 14232.777777777797 14232.777777777797 14232.777777777797 
13.011559271615067 0.0 0.0 0.0 35.0 14232.777777777797 14232.777777777797 14232.777777777797 
14.011559271615067 0.0 0.0 1.0 35.0 14232.777777777797 14232.777777777797 14232.777777777797 
15.011559271615067 0.0 0.0 1.0 35.0 14232.777777777797 14232.777777777797 14232.777777777797 
16.011559271615067 0.0 0.0 1.0 35.0 14232.24933333335 14215.162962962962 14232.777777777797 
17.011559271615067 0.0 0.0 1.0 35.0 14231.736742222229 14215.162962962962 14232.777777777797 
18.011559271615067 0.0 0.0 1.0 35.0 14231.239528844444 14215.162962962962 14232.777777777797 
19.011559271615067 0.0 0.0 1.0 35.0 14230.757231867989 14215.162962962962 14232.777777777797 
20.011559271615067 0.0 0.0 1.0 35.0 14230.289403800845 14215.162962962962 14232.777777777797 
21.011559271615067 0.0 0.0 2.0 35.0 14229.835610575688 14215.162962962962 14232.777777777797 
22.011559271615067 0.0 0.0 2.0 35.0 14228.866986702877 14197.54814814815 14232.777777777797 
23.011559271615067 0.0 0.0 2.0 35.0 14227.92742154625 14197.54814814815 14232.777777777797 
24.011559271615067 0.0 0.0 2.0 35.0 14227.016043344314 14197.54814814815 14232.777777777797 
25.011559271615067 0.0 0.0 2.0 35.0 14226.132006488415 14197.54814814815 14232.777777777797 
26.011559271615067 0.0 0.0 2.0 35.0 14225.274490738208 14197.54814814815 14232.777777777797 
27.011559271615067 0.0 0.0 3.0 35.0 14224.442700460479 14197.54814814815 14232.777777777797 
28.011559271615067 0.0 0.0 3.0 35.0 14223.635863891159 14197.54814814815 14232.777777777797 
29.011559271615067 0.0 0.0 3.0 35.0 14222.324787974425 14179.933333333322 14232.777777777797 
30.011559271615067 0.0 0.0 3.0 35.0 14221.053044335142 14179.933333333322 14232.777777777797 
31.011559271615067 0.0 0.0 3.0 35.0 14219.819453005106 14179.933333333322 14232.777777777797 
32.01155927161507 0.0 0.0 3.0 35.0 14218.622869414949 14179.933333333322 14232.777777777797 
33.01155927161507 1.0 0.0 2.0 35.0 14217.462183332495 14179.933333333322 14232.777777777797 
34.01155927161507 1.0 0.0 2.0 35.0 14216.86476227699 14197.54814814815 14232.777777777797 
35.01155927161507 1.0 0.0 2.0 35.0 14216.285263853097 14197.54814814815 14232.777777777797 
36.01155927161507 1.0 0.0 2.0 35.0 14215.723150381962 14197.54814814815 14232.777777777797 
37.01155927161507 1.0 0.0 2.0 35.0 14215.177900314951 14197.54814814815 14232.777777777797 
38.01155927161507 1.0 0.0 3.0 35.0 14214.649007749924 14197.54814814815 14232.777777777797 
39.01155927161507 1.0 0.0 3.0 35.0 14213.607537517435 14179.933333333322 14232.777777777797 
40.01155927161507 1.0 0.0 3.0 35.0 14212.597311391908 14179.933333333322 14232.777777777797 
41.01155927161507 2.0 0.0 2.0 35.0 14211.61739205016 14179.933333333322 14232.777777777797 
42.01155927161507 2.0 0.0 2.0 35.0 14211.195314733128 14197.54814814815 14232.777777777797 
43.01155927161507 2.0 0.0 2.0 35.0 14210.785899735578 14197.54814814815 14232.777777777797 
44.01155927161507 2.0 0.0 2.0 35.0 14210.388767187924 14197.54814814815 14232.777777777797 
45.01155927161507 2.0 0.0 2.0 35.0 14210.003548616723 14197.54814814815 14232.777777777797 
46.01155927161507 2.0 0.0 2.0 35.0 14209.62988660269 14197.54814814815 14232.777777777797 
47.01155927161507 2.0 0.0 2.0 35.0 14209.267434449066 14197.54814814815 14232.777777777797 
48.01155927161507 3.0 0.0 1.0 35.0 14209.44430030446 14215.162962962962 14232.777777777797 
49.01155927161507 3.0 0.0 1.0 35.0 14209.615860184238 14215.162962962962 14232.777777777797 
50.01155927161507 3.0 0.0 1.0 35.0 14209.782273267558 14215.162962962962 14232.777777777797 
51.01155927161507 3.0 0.0 1.0 35.0 14209.943693958436 14215.162962962962 14232.777777777797 
52.01155927161507 3.0 0.0 1.0 35.0 14210.10027202859 14215.162962962962 14232.777777777797 
53.01155927161507 3.0 0.0 1.0 35.0 14210.252152756642 14215.162962962962 14232.777777777797 
54.01155927161507 4.0 0.0 0.0 35.0 14210.927921507224 14232.777777777797 14232.777777777797 
55.01155927161507 4.0 0.0 0.0 35.0 14211.58341719536 14232.777777777797 14232.777777777797 
56.01155927161507 4.0 0.0 0.0 35.0 14212.219248012814 14232.777777777797 14232.777777777797 
57.01155927161507 4.0 0.0 0.0 35.0 14212.836003905782 14232.777777777797 14232.777777777797 
58.01155927161507 4.0 0.0 0.0 35.0 14213.434257121917 14232.777777777797 14232.777777777797 
